,Pattern_ID,p_count
482,-5588,4
483,-1120,4
484,-1242,4
485,-1486,4
486,-3430,4
487,-4261,4
488,-4577,4
489,-1226,4
490,-3911,4
491,-2178,4
492,-1208,4
493,-1096,4
494,-4818,4
495,-5204,4
496,-4104,4
497,-2182,4
498,-5686,4
499,-2202,4
500,-2210,4
501,-3333,4
502,-1320,4
503,-4423,4
504,-603,4
505,-3865,4
506,-2068,4
507,-2016,4
508,-673,4
509,-5014,4
510,-1389,4
511,-4672,4
512,-4477,4
513,-4307,4
514,-625,4
515,-1584,4
516,-5492,4
517,-1026,4
518,-4192,4
519,-3793,4
520,-1346,4
521,-2618,4
522,-254,4
523,-3535,4
524,-5444,4
525,-4978,4
526,-609,4
527,-5710,4
528,-2739,3
529,-716,3
530,-331,3
531,-5498,3
532,-2891,3
533,-3475,3
534,-3576,3
535,-3132,3
536,-4954,3
537,-3491,3
538,-4578,3
539,-2933,3
540,-2084,3
541,-860,3
542,-347,3
543,-1503,3
544,-190,3
545,-5597,3
546,-5096,3
547,-4882,3
548,-2835,3
549,-5338,3
550,-788,3
551,-163,3
552,-4922,3
553,-5393,3
554,-3348,3
555,-3413,3
556,-3405,3
557,-1686,3
558,-2419,3
559,-1118,3
560,-270,3
561,-1164,3
562,-5768,3
563,-1108,3
564,-828,3
565,-2148,3
566,-5728,3
567,-2205,3
568,-3536,3
569,-2779,3
570,-166,3
571,-318,3
572,-299,3
573,-4850,3
574,-5450,3
575,-1414,3
576,-2157,3
577,-1348,3
578,-2140,3
579,-5410,3
580,-5313,3
581,-5161,3
582,-1996,3
583,-5653,3
584,-2828,3
585,-558,3
586,-5328,3
587,-2611,3
588,-4648,3
589,-3277,3
590,-2749,3
591,-5730,3
592,-2765,3
593,-3784,3
594,-1684,3
595,-3819,3
596,-4632,3
597,-2077,3
598,-2781,3
599,-1628,3
600,-3827,3
601,-4616,3
602,-5026,3
603,-4617,3
604,-4633,3
605,-1444,3
606,-1863,3
607,-2651,3
608,-5082,3
609,-4737,3
610,-574,3
611,-4745,3
612,-2652,3
613,-1012,3
614,-3912,3
615,-2659,3
616,-566,3
617,-1494,3
618,-2685,3
619,-4673,3
620,-4736,3
621,-3557,3
622,-3747,3
623,-683,3
624,-4665,3
625,-4921,3
626,-827,3
627,-2876,3
628,-430,3
629,-798,3
630,-2484,3
631,-5089,3
632,-5709,3
633,-2509,3
634,-2501,3
635,-4003,3
636,-4729,3
637,-2149,3
638,-835,3
639,-3555,3
640,-1599,3
641,-2923,3
642,-1591,3
643,-3229,3
644,-4952,3
645,-5554,3
646,-406,3
647,-5073,3
648,-5025,3
649,-3907,3
650,-4537,3
651,-1612,3
652,-4585,3
653,-2884,3
654,-5781,3
655,-3627,3
656,-3728,3
657,-774,3
658,-510,3
659,-475,3
660,-5648,3
661,-3720,3
662,-2845,3
663,-1828,3
664,-4584,3
665,-3621,3
666,-2500,3
667,-62,3
668,-3739,3
669,-3388,3
670,-4466,3
671,-4243,3
672,-429,3
673,-1312,3
674,-4315,3
675,-5447,3
676,-4267,3
677,-3406,3
678,-413,3
679,-2346,3
680,-405,3
681,-2138,3
682,-3447,3
683,-2130,3
684,-3479,3
685,-2042,3
686,-4363,3
687,-1240,3
688,-2706,3
689,-501,3
690,-2642,3
691,-3071,3
692,-5150,3
693,-1064,3
694,-4611,3
695,-2550,3
696,-1104,3
697,-4535,3
698,-2530,3
699,-5270,3
700,-2510,3
701,-377,3
702,-5318,3
703,-2394,3
704,-4057,3
705,-349,3
706,-1898,3
707,-3662,3
708,-5647,3
709,-1546,3
710,-3871,3
711,-1824,3
712,-3943,3
713,-1418,3
714,-2262,3
715,-3913,3
716,-1378,3
717,-3425,3
718,-3393,3
719,-3385,3
720,-2080,3
721,-2120,3
722,-5814,3
723,-5631,3
724,-5623,3
725,-5798,3
726,-2403,3
727,-3574,3
728,-5700,3
729,-1610,3
730,-5615,3
731,-1485,3
732,-4407,3
733,-317,3
734,-5820,3
735,-5702,3
736,-3849,3
737,-5654,3
738,-1405,3
739,-4707,3
740,-5006,3
741,-5388,3
742,-1037,3
743,-2766,3
744,-1481,3
745,-3514,3
746,-2367,3
747,-5499,3
748,-2431,3
749,-5151,3
750,-5755,3
751,-3394,3
752,-1061,3
753,-3386,3
754,-5339,3
755,-1241,3
756,-2615,3
757,-248,3
758,-1665,3
759,-541,3
760,-4991,3
761,-4034,3
762,-4959,3
763,-2926,3
764,-2111,3
765,-2127,3
766,-80,3
767,-5007,3
768,-2271,3
769,-1825,3
770,-965,3
771,-4254,3
772,-5079,3
773,-1753,3
774,-2798,3
775,-4686,3
776,-3114,3
777,-3090,3
778,-4851,3
779,-825,3
780,-4902,3
781,-4883,3
782,-4875,3
783,-2826,3
784,-769,3
785,-2802,3
786,-4718,3
787,-4942,3
788,-4843,3
789,-2911,3
790,-2598,3
791,-3230,3
792,-4795,3
793,-4870,3
794,-768,3
795,-841,3
796,-2890,3
797,-4663,3
798,-2898,3
799,-4846,3
800,-1149,3
801,-4979,3
802,-921,3
803,-5091,3
