,Pattern_ID,p_count
623,-2228,1
624,-487,1
625,-4589,1
626,-3074,1
627,-4912,1
628,-2418,1
629,-4898,1
630,-803,1
631,-4900,1
632,-805,1
633,-4902,1
634,-776,1
635,-808,1
636,-4909,1
637,-4915,1
638,-865,1
639,-823,1
640,-828,1
641,-831,1
642,-4931,1
643,-3784,1
644,-4942,1
645,-849,1
646,-853,1
647,-4950,1
648,-4891,1
649,-4888,1
650,-2838,1
651,-787,1
652,-2793,1
653,-2796,1
654,-2797,1
655,-4846,1
656,-2802,1
657,-4851,1
658,-757,1
659,-406,1
660,-4856,1
661,-4857,1
662,-1755,1
663,-2816,1
664,-769,1
665,-771,1
666,-2822,1
667,-2828,1
668,-2830,1
669,-783,1
670,-2834,1
671,-860,1
672,-2920,1
673,-1224,1
674,-5092,1
675,-5058,1
676,-5066,1
677,-1905,1
678,-5577,1
679,-5075,1
680,-5079,1
681,-5080,1
682,-992,1
683,-5089,1
684,-997,1
685,-2921,1
686,-5098,1
687,-5099,1
688,-3052,1
689,-120,1
690,-5103,1
691,-1014,1
692,-1018,1
693,-2205,1
694,-3073,1
695,-957,1
696,-2996,1
697,-943,1
698,-939,1
699,-2923,1
700,-4974,1
701,-2927,1
702,-882,1
703,-4982,1
704,-4828,1
705,-4984,1
706,-891,1
707,-4989,1
708,-1896,1
709,-900,1
710,-908,1
711,-5005,1
712,-2960,1
713,-914,1
714,-5011,1
715,-5014,1
716,-5027,1
717,-6,1
718,-2642,1
719,-739,1
720,-2545,1
721,-3756,1
722,-480,1
723,-2604,1
724,-4654,1
725,-2502,1
726,-2614,1
727,-4667,1
728,-2620,1
729,-573,1
730,-574,1
731,-4672,1
732,-4703,1
733,-577,1
734,-4685,1
735,-2638,1
736,-592,1
737,-4690,1
738,-2643,1
739,-600,1
740,-4697,1
741,-603,1
742,-2601,1
743,-2600,1
744,-3160,1
745,-549,1
746,-1429,1
747,-5498,1
748,-500,1
749,-501,1
750,-504,1
751,-4604,1
752,-510,1
753,-511,1
754,-4614,1
755,-2568,1
756,-4618,1
757,-4619,1
758,-525,1
759,-4629,1
760,-4631,1
761,-4632,1
762,-540,1
763,-1495,1
764,-548,1
