,0
1078,0
1079,0
1080,0
1081,1
1082,0
1083,0
1084,0
1085,0
1086,1
1087,0
1088,2
1089,1
1090,4
1091,1
1092,3
1093,2
1094,4
1095,2
1096,1
1097,6
1098,1
1099,2
1100,0
1101,0
1102,3
1103,1
1104,2
1105,0
1106,3
1107,2
1108,0
1109,0
1110,0
1111,2
1112,2
1113,2
1114,1
1115,0
1116,3
1117,0
1118,4
1119,0
1120,0
1121,0
1122,0
1123,0
1124,1
1125,1
1126,2
1127,7
1128,2
1129,0
1130,0
1131,0
1132,1
1133,0
1134,0
1135,0
1136,1
1137,2
1138,4
1139,6
1140,2
1141,3
1142,4
1143,0
1144,0
1145,0
1146,7
1147,3
1148,0
1149,0
1150,0
1151,0
1152,2
1153,0
1154,1
1155,6
1156,0
1157,0
1158,0
1159,1
1160,2
1161,0
1162,3
1163,1
1164,0
1165,1
1166,0
1167,0
1168,0
1169,0
1170,0
1171,1
1172,2
1173,2
1174,1
1175,0
1176,0
1177,2
1178,2
1179,1
1180,0
1181,2
1182,0
1183,0
1184,1
1185,1
1186,7
1187,2
1188,0
1189,0
1190,0
1191,0
1192,0
1193,2
1194,2
1195,5
1196,2
1197,2
1198,0
1199,2
1200,0
1201,0
1202,0
1203,0
1204,0
1205,1
1206,4
1207,1
1208,5
1209,0
1210,0
1211,1
1212,2
1213,3
1214,1
1215,0
1216,2
1217,0
1218,1
1219,2
1220,5
1221,2
1222,2
1223,1
1224,4
1225,2
1226,0
1227,0
1228,0
1229,2
1230,5
1231,1
1232,3
1233,0
1234,1
1235,1
1236,0
1237,0
1238,3
1239,3
1240,4
1241,0
1242,0
1243,0
1244,0
1245,2
1246,2
1247,1
1248,2
1249,2
1250,1
1251,2
1252,2
1253,0
1254,0
1255,0
1256,2
1257,0
1258,0
1259,0
1260,1
1261,2
1262,6
1263,1
1264,2
1265,0
1266,0
1267,1
1268,1
1269,1
1270,1
1271,1
1272,0
1273,1
1274,0
1275,0
1276,0
1277,2
1278,2
1279,2
1280,0
1281,1
1282,0
1283,0
1284,2
1285,3
1286,2
1287,1
1288,3
1289,1
1290,0
1291,0
1292,1
1293,5
1294,1
1295,0
1296,2
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,2
1305,2
1306,0
1307,1
1308,0
1309,1
1310,3
1311,1
1312,0
1313,0
1314,0
1315,2
1316,2
1317,1
1318,4
1319,0
1320,0
1321,0
1322,1
1323,0
1324,0
1325,0
1326,1
1327,0
1328,1
1329,2
1330,1
1331,1
1332,1
1333,0
1334,0
1335,0
1336,1
1337,0
1338,1
1339,1
1340,2
1341,0
1342,0
1343,1
1344,4
1345,4
1346,3
1347,1
1348,0
1349,1
1350,0
1351,0
1352,2
1353,0
1354,1
1355,0
1356,4
1357,5
1358,2
1359,4
1360,6
1361,2
1362,0
1363,1
1364,2
1365,1
1366,1
1367,1
1368,5
1369,1
1370,4
1371,0
1372,0
1373,0
1374,0
1375,0
1376,3
1377,1
1378,0
1379,0
1380,0
1381,0
1382,1
1383,2
1384,2
1385,2
1386,1
1387,4
1388,6
1389,1
1390,0
1391,1
1392,0
1393,0
1394,0
1395,1
1396,2
1397,1
1398,5
1399,2
1400,4
1401,1
1402,4
1403,3
1404,0
1405,2
1406,1
1407,0
1408,0
1409,0
1410,1
1411,1
1412,3
1413,1
1414,2
1415,6
1416,3
1417,3
1418,1
1419,0
1420,1
1421,0
1422,0
1423,2
1424,1
1425,3
1426,0
1427,1
1428,1
1429,0
1430,0
1431,0
1432,7
1433,4
1434,1
1435,0
1436,1
1437,1
1438,2
1439,1
1440,0
1441,2
1442,3
1443,5
1444,0
1445,1
1446,0
1447,0
1448,0
1449,0
1450,0
1451,1
1452,1
1453,0
1454,1
